#SRCNAME|DSTNAME|METRIC=VALUE,METRIC=VALUE,...
aws.us-east-1|aws.us-east-2|cost=10.00,delay=11.16
aws.us-east-1|aws.us-west-1|cost=20.00,delay=61.18
aws.us-east-1|aws.us-west-2|cost=20.00,delay=62.42
aws.us-east-1|aws.ap-south-1|cost=20.00,delay=189.00
aws.us-east-1|aws.ap-northeast-3|cost=20.00,delay=149.45
aws.us-east-1|aws.ap-northeast-2|cost=20.00,delay=172.84
aws.us-east-1|aws.ap-southeast-1|cost=20.00,delay=210.21
aws.us-east-1|aws.ap-southeast-2|cost=20.00,delay=197.53
aws.us-east-1|aws.ap-northeast-1|cost=20.00,delay=143.86
aws.us-east-1|aws.ca-central-1|cost=20.00,delay=13.77
aws.us-east-1|aws.eu-central-1|cost=20.00,delay=90.64
aws.us-east-1|aws.eu-west-1|cost=20.00,delay=67.78
aws.us-east-1|aws.eu-west-2|cost=20.00,delay=76.21
aws.us-east-1|aws.eu-west-3|cost=20.00,delay=81.68
aws.us-east-1|aws.eu-north-1|cost=20.00,delay=110.37
aws.us-east-1|aws.sa-east-1|cost=20.00,delay=114.72
aws.us-east-1|gcp.northamerica-northeast1|cost=90.00,delay=14.21
aws.us-east-1|gcp.northamerica-northeast2|cost=90.00,delay=27.25
aws.us-east-1|gcp.southamerica-east1|cost=90.00,delay=115.23
aws.us-east-1|gcp.southamerica-west1|cost=90.00,delay=117.92
aws.us-east-1|gcp.us-central1|cost=90.00,delay=28.49
aws.us-east-1|gcp.us-east1|cost=90.00,delay=19.02
aws.us-east-1|gcp.us-east4|cost=90.00,delay=2.14
aws.us-east-1|gcp.us-east5|cost=90.00,delay=18.72
aws.us-east-1|gcp.us-south1|cost=90.00,delay=32.67
aws.us-east-1|gcp.us-west1|cost=90.00,delay=62.20
aws.us-east-1|gcp.us-west2|cost=90.00,delay=66.42
aws.us-east-1|gcp.us-west3|cost=90.00,delay=49.93
aws.us-east-1|gcp.us-west4|cost=90.00,delay=61.00
aws.us-east-1|gcp.europe-central2|cost=90.00,delay=101.45
aws.us-east-1|gcp.europe-north1|cost=90.00,delay=103.63
aws.us-east-1|gcp.europe-southwest1|cost=90.00,delay=79.12
aws.us-east-1|gcp.europe-west1|cost=90.00,delay=81.07
aws.us-east-1|gcp.europe-west12|cost=90.00,delay=94.09
aws.us-east-1|gcp.europe-west2|cost=90.00,delay=77.37
aws.us-east-1|gcp.europe-west3|cost=90.00,delay=87.32
aws.us-east-1|gcp.europe-west4|cost=90.00,delay=28.87
aws.us-east-1|gcp.europe-west6|cost=90.00,delay=91.99
aws.us-east-1|gcp.europe-west8|cost=90.00,delay=95.42
aws.us-east-1|gcp.europe-west9|cost=90.00,delay=79.31
aws.us-east-1|gcp.me-central1|cost=90.00,delay=191.87
aws.us-east-1|gcp.me-west1|cost=90.00,delay=127.43
aws.us-east-1|gcp.asia-east1|cost=90.00,delay=192.37
aws.us-east-1|gcp.asia-east2|cost=90.00,delay=204.48
aws.us-east-1|gcp.asia-northeast1|cost=90.00,delay=155.81
aws.us-east-1|gcp.asia-northeast2|cost=90.00,delay=163.86
aws.us-east-1|gcp.asia-northeast3|cost=90.00,delay=181.37
aws.us-east-1|gcp.asia-south1|cost=90.00,delay=218.44
aws.us-east-1|gcp.asia-south2|cost=90.00,delay=268.23
aws.us-east-1|gcp.asia-southeast1|cost=90.00,delay=221.39
aws.us-east-1|gcp.asia-southeast2|cost=90.00,delay=234.66
aws.us-east-1|gcp.australia-southeast1|cost=90.00,delay=198.15
aws.us-east-1|gcp.australia-southeast2|cost=90.00,delay=210.08
aws.us-east-1|azure.eastus|cost=90.00,delay=2.24
aws.us-east-1|azure.eastus2|cost=90.00,delay=6.00
aws.us-east-1|azure.southcentralus|cost=90.00,delay=45.38
aws.us-east-1|azure.westus2|cost=90.00,delay=67.43
aws.us-east-1|azure.westus3|cost=90.00,delay=61.97
aws.us-east-1|azure.australiaeast|cost=90.00,delay=206.83
aws.us-east-1|azure.southeastasia|cost=90.00,delay=227.04
aws.us-east-1|azure.northeurope|cost=90.00,delay=66.81
aws.us-east-1|azure.swedencentral|cost=90.00,delay=102.55
aws.us-east-1|azure.uksouth|cost=90.00,delay=74.49
aws.us-east-1|azure.westeurope|cost=90.00,delay=81.18
aws.us-east-1|azure.centralus|cost=90.00,delay=28.28
aws.us-east-1|azure.southafricanorth|cost=90.00,delay=239.71
aws.us-east-1|azure.centralindia|cost=90.00,delay=201.74
aws.us-east-1|azure.eastasia|cost=90.00,delay=213.76
aws.us-east-1|azure.japaneast|cost=90.00,delay=161.64
aws.us-east-1|azure.koreacentral|cost=90.00,delay=185.92
aws.us-east-1|azure.canadacentral|cost=90.00,delay=23.57
aws.us-east-1|azure.francecentral|cost=90.00,delay=79.78
aws.us-east-1|azure.germanywestcentral|cost=90.00,delay=86.49
aws.us-east-1|azure.norwayeast|cost=90.00,delay=102.13
aws.us-east-1|azure.polandcentral|cost=90.00,delay=100.93
aws.us-east-1|azure.switzerlandnorth|cost=90.00,delay=92.29
aws.us-east-1|azure.uaenorth|cost=90.00,delay=188.56
aws.us-east-1|azure.brazilsouth|cost=90.00,delay=114.25
aws.us-east-1|azure.qatarcentral|cost=90.00,delay=193.80
aws.us-east-1|azure.northcentralus|cost=90.00,delay=20.79
aws.us-east-1|azure.westus|cost=90.00,delay=67.33
aws.us-east-1|azure.westcentralus|cost=90.00,delay=45.13
aws.us-east-1|azure.australiacentral|cost=90.00,delay=210.58
aws.us-east-1|azure.australiasoutheast|cost=90.00,delay=217.83
aws.us-east-1|azure.japanwest|cost=90.00,delay=169.92
aws.us-east-1|azure.koreasouth|cost=90.00,delay=182.24
aws.us-east-1|azure.southindia|cost=90.00,delay=229.46
aws.us-east-1|azure.canadaeast|cost=90.00,delay=20.87
aws.us-east-1|azure.ukwest|cost=90.00,delay=77.29
aws.us-east-2|aws.us-east-1|cost=10.00,delay=11.16
aws.us-east-2|aws.us-west-1|cost=20.00,delay=50.73
aws.us-east-2|aws.us-west-2|cost=20.00,delay=49.20
aws.us-east-2|aws.ap-south-1|cost=20.00,delay=198.22
aws.us-east-2|aws.ap-northeast-3|cost=20.00,delay=136.89
aws.us-east-2|aws.ap-northeast-2|cost=20.00,delay=159.83
aws.us-east-2|aws.ap-southeast-1|cost=20.00,delay=197.03
aws.us-east-2|aws.ap-southeast-2|cost=20.00,delay=186.68
